arche_id,handle_id
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0063.xml,https://hdl.handle.net/21.11115/0000-000F-FF78-C
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0064.xml,https://hdl.handle.net/21.11115/0000-000F-FF79-B
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0065.xml,https://hdl.handle.net/21.11115/0000-000F-FF7A-A
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0066.xml,https://hdl.handle.net/21.11115/0000-000F-FF7B-9
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0067.xml,https://hdl.handle.net/21.11115/0000-000F-FF7C-8
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0068.xml,https://hdl.handle.net/21.11115/0000-000F-FF7D-7
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0069.xml,https://hdl.handle.net/21.11115/0000-000F-FF7E-6
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0070.xml,https://hdl.handle.net/21.11115/0000-000F-FF7F-5
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0071.xml,https://hdl.handle.net/21.11115/0000-000F-FF80-1
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0072.xml,https://hdl.handle.net/21.11115/0000-000F-FF81-0
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0073.xml,https://hdl.handle.net/21.11115/0000-000F-FF82-F
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0074.xml,https://hdl.handle.net/21.11115/0000-000F-FF83-E
https://id.acdh.oeaw.ac.at/auden-musulin-papers/amp-transcript__0075.xml,https://hdl.handle.net/21.11115/0000-000F-FF84-D
